Period,AE,AE4h
01/08/2010,1752381,3697
01/09/2010,1756268,5907
01/10/2010,1801348,6932
01/11/2010,1651027,7179
01/12/2010,1737741,13818
01/01/2011,1727797,13162
01/02/2011,1599364,7872
01/03/2011,1863441,8602
01/04/2011,1844375,7531
01/05/2011,1873695,7309
01/06/2011,1785417,7060
01/07/2011,1864959,5645
01/08/2011,1758108,4990
01/09/2011,1781211,7460
01/10/2011,1848912,9078
01/11/2011,1741441,8941
01/12/2011,1732046,10946
01/01/2012,1737518,14147
01/02/2012,1704232,15698
01/03/2012,1933153,10199
01/04/2012,1769523,10132
01/05/2012,1929570,8681
01/06/2012,1887841,8409
01/07/2012,1924523,7265
01/08/2012,1845142,7128
01/09/2012,1788491,9022
01/10/2012,1832304,11089
01/11/2012,1755605,11561
01/12/2012,1822426,16505
01/01/2013,1733118,19709
01/02/2013,1648748,18974
01/03/2013,1865084,24395
01/04/2013,1831420,23485
01/05/2013,1891670,9652
01/06/2013,1831036,8382
01/07/2013,1976289,9303
01/08/2013,1840591,10439
01/09/2013,1768749,13383
01/10/2013,1829429,13852
01/11/2013,1733037,11904
01/12/2013,1782029,15115
01/01/2014,1739539,19001
01/02/2014,1661814,19236
01/03/2014,1957341,15130
01/04/2014,1877676,15829
01/05/2014,1978028,17822
01/06/2014,1942268,14724
01/07/2014,1993631,16616
01/08/2014,1817310,15736
01/09/2014,1853286,19611
01/10/2014,1892374,24941
01/11/2014,1830460,25664
01/12/2014,1901227,45982
01/01/2015,1732067,44903
01/02/2015,1654846,33137
01/03/2015,1942967,30768
01/04/2015,1873168,27996
01/05/2015,1937469,23524
01/06/2015,1911209,19065
01/07/2015,1952895,17275
01/08/2015,1865139,20030
01/09/2015,1859979,25883
01/10/2015,1923108,31582
01/11/2015,1874235,34170
01/12/2015,1867652,32939
01/01/2016,1906920,51571
01/02/2016,1870776,50066
01/03/2016,2087553,53640
01/04/2016,1867781,38632
01/05/2016,2070340,38203
01/06/2016,1958802,35300
01/07/2016,2079034,37466
01/08/2016,1932901,34253
01/09/2016,1952464,35694
01/10/2016,2001816,48816
01/11/2016,1907871,52988
01/12/2016,1944567,61729
01/01/2017,1895272,79551
01/02/2017,1735619,54491
01/03/2017,2015834,42970
01/04/2017,1949762,33923
01/05/2017,2066789,40296
01/06/2017,1994056,34476
01/07/2017,2073944,37258
01/08/2017,1924663,37164
01/09/2017,1925961,42157
01/10/2017,2044137,45500
01/11/2017,1976971,48623
01/12/2017,2003954,69086
01/01/2018,2000086,81231
01/02/2018,1820012,68712
01/03/2018,2049785,76233
01/04/2018,1984369,48004
01/05/2018,2164458,39236
01/06/2018,2093942,33750
01/07/2018,2179896,42823
01/08/2018,1997854,40214
01/09/2018,2005695,44582
01/10/2018,2079492,49014
01/11/2018,2037847,54373
01/12/2018,2047518,59805
01/01/2019,2113413,83554
01/02/2019,1954947,70815
01/03/2019,2167551,59510
01/04/2019,2112184,66933
01/05/2019,2172006,61507
01/06/2019,2107987,57671
01/07/2019,2265050,58532
01/08/2019,2125435,56498
01/09/2019,2123345,64924
01/10/2019,2170885,80091
01/11/2019,2143505,88922
01/12/2019,2180537,98461
01/01/2020,2114709,100579
01/02/2020,1969691,78646
01/03/2020,1531801,51790
01/04/2020,916575,15720
01/05/2020,1261837,13457
01/06/2020,1410602,17881
01/07/2020,1588286,21025
01/08/2020,1719003,32159
01/09/2020,1693880,44996
01/10/2020,1599347,66794
01/11/2020,1485176,71041
01/12/2020,1474674,89927
01/01/2021,1310806,95695
01/02/2021,1278091,57152
01/03/2021,1691282,50972
01/04/2021,1869822,48719
01/05/2021,2080174,57307
01/06/2021,2159292,66619
